,commercial_area_name,commercial_area_code,week,floating_population,total_sales,total_customers
202,경희대삼거리,3110205,MONDAY,1076109.0,2547315635,93240.0
203,텃골근린공원,3110206,MONDAY,664334.0,857924556,80408.0
204,시립대앞사거리,3110207,MONDAY,414902.0,409709691,28713.0
205,시조사삼거리,3110208,MONDAY,203465.0,68240502,399.0
206,답십리 장령당공원,3110209,MONDAY,187149.0,24819907,207.0
207,서울시립대,3110210,MONDAY,1474636.0,2146336948,276995.0
208,전곡마을마당공원,3110211,MONDAY,1325098.0,1647566939,61976.0
209,답십리초등학교,3110212,MONDAY,519827.0,1723839068,80181.0
210,청량초등학교,3110213,MONDAY,248099.0,30316349,1896.0
211,경희대후문,3110214,MONDAY,874922.0,1460106325,238780.0
212,회기역 1번,3110215,MONDAY,443868.0,288883522,35936.0
213,전농중학교,3110216,MONDAY,196639.0,2040170984,116624.0
214,자동차부품상가,3110217,MONDAY,203898.0,189920908,2938.0
215,답십리사거리,3110218,MONDAY,650282.0,4187249829,130363.0
216,삼육보건대학교,3110219,MONDAY,838628.0,6183731701,268306.0
217,외대앞역 1번,3110220,MONDAY,813653.0,6741396339,611984.0
218,의릉,3110221,MONDAY,196007.0,251558696,15325.0
219,회기역 2번,3110222,MONDAY,28696.0,12555344,455.0
220,군자초등학교,3110223,MONDAY,233748.0,151770912,4023.0
221,외대앞역 2번,3110224,MONDAY,332081.0,1540457127,54164.0
222,촬영소사거리,3110225,MONDAY,140621.0,1247742311,47561.0
223,장안1동주민센터,3110226,MONDAY,1681380.0,25723401171,652732.0
224,답십리공원,3110227,MONDAY,278238.0,1923317737,31762.0
225,장안근린공원,3110228,MONDAY,920304.0,4782454921,287725.0
226,장평중학교,3110229,MONDAY,1023138.0,15454604759,116654.0
227,장안현대홈타운1차아파트,3110230,MONDAY,658028.0,2375202055,205300.0
228,동대부고,3110232,MONDAY,439869.0,12288721174,277810.0
229,중랑역 1번,3110233,MONDAY,688634.0,1926958462,149212.0
230,중랑역 4번,3110234,MONDAY,166800.0,779154657,24868.0
231,신묵초등학교,3110236,MONDAY,976108.0,1330196262,38792.0
232,메가박스 상봉,3110237,MONDAY,480476.0,4960752507,190123.0
233,배꽃어린이공원,3110238,MONDAY,34357.0,0,0.0
234,중랑역 2번,3110239,MONDAY,109902.0,371089854,12975.0
235,태릉시장 특화거리,3110240,MONDAY,376102.0,3019032763,129172.0
236,먹골역 5번,3110241,MONDAY,588149.0,6426823204,517753.0
237,면목5동주민센터,3110242,MONDAY,284354.0,559142253,42302.0
238,중랑노인종합복지관,3110243,MONDAY,323469.0,3235655067,130902.0
239,중화역 4번,3110244,MONDAY,565988.0,5282098916,174285.0
240,KB국민은행 중화동지점,3110245,MONDAY,319027.0,804845934,58063.0
241,월드순복음교회,3110246,MONDAY,772894.0,1393717782,42916.0
242,먹골역 1번,3110247,MONDAY,1201953.0,4647035415,215822.0
243,먹골파출소,3110248,MONDAY,271522.0,1110284518,60730.0
244,중화역 1번,3110249,MONDAY,930801.0,5884337773,238448.0
245,화랑대역 7번,3110250,MONDAY,218476.0,427679051,25771.0
246,장안중학교,3110251,MONDAY,406942.0,940156960,34518.0
247,장안제일시장,3110252,MONDAY,616709.0,4396314195,165445.0
248,중곡초등학교,3110253,MONDAY,417429.0,1767399649,104859.0
249,오거리공원,3110254,MONDAY,1677567.0,3864707006,196199.0
250,상봉역 4번,3110255,MONDAY,1271254.0,4611598576,237646.0
251,면목2동체육관,3110256,MONDAY,806078.0,6318418604,276967.0
252,상봉역 7번,3110257,MONDAY,827586.0,225722827,24076.0
253,면동초등학교,3110258,MONDAY,429399.0,1259329170,62395.0
254,사가정역 1번,3110259,MONDAY,700102.0,4468218750,164578.0
255,면목역 3번,3110260,MONDAY,804040.0,2454103309,168555.0
256,사가정역 4번,3110261,MONDAY,841073.0,1130931863,99965.0
257,상봉역 3번,3110262,MONDAY,974421.0,5045802257,189744.0
258,면목역 1번,3110263,MONDAY,761002.0,1050914300,122072.0
259,면목역 2번,3110264,MONDAY,1638656.0,5142323128,475979.0
260,망우역 1번,3110265,MONDAY,242428.0,2126028552,64437.0
261,면목동우체국,3110266,MONDAY,834545.0,1031287988,80541.0
262,망우역 2번,3110267,MONDAY,710613.0,2850018730,98844.0
263,망우3동주민센터,3110268,MONDAY,324411.0,785367912,32497.0
264,용마문화복지센터,3110269,MONDAY,362506.0,726453501,34311.0
265,혜원여고,3110270,MONDAY,122286.0,666178452,44353.0
266,신내역 1번,3110271,MONDAY,34039.0,208668451,3275.0
267,신내1동주민센터,3110272,MONDAY,714367.0,8268540429,376170.0
268,장스여성병원,3110273,MONDAY,437869.0,3090105305,147797.0
269,서일대학교,3110274,MONDAY,808126.0,4679632752,378208.0
270,하나은행 망우동지점,3110275,MONDAY,281950.0,1501626644,33286.0
271,신내IC북측,3110276,MONDAY,29734.0,17871612,60.0
272,러스크서울병원,3110277,MONDAY,487795.0,1796038192,147744.0
