,commercial_area_name,pop_type,total_population,total_sales
401,등촌역,WORKING,10385.0,99710107259
402,"이화여대(이대역, 이대)",RESIDENT,11920.0,99459933189
403,"이화여대(이대역, 이대)",WORKING,2085.0,99459933189
404,영림시장,RESIDENT,8316.0,98832377583
405,영림시장,WORKING,2554.0,98832377583
406,구로구청,RESIDENT,21932.0,97922938389
407,구로구청,WORKING,15230.0,97922938389
408,교육개발원입구사거리,RESIDENT,3872.0,97882190053
409,교육개발원입구사거리,WORKING,21590.0,97882190053
410,방이역 1번,RESIDENT,6576.0,97479865959
411,방이역 1번,WORKING,17979.0,97479865959
412,미아역,RESIDENT,6544.0,96545640005
413,미아역,WORKING,5391.0,96545640005
414,용산용문시장,RESIDENT,2508.0,96259639383
415,용산용문시장,WORKING,3663.0,96259639383
416,중림동,RESIDENT,8080.0,95894008265
417,중림동,WORKING,14645.0,95894008265
418,광장시장(광장전통시장),RESIDENT,504.0,95496813534
419,광장시장(광장전통시장),WORKING,20924.0,95496813534
420,대림상가(청계상가),RESIDENT,392.0,95288076035
421,대림상가(청계상가),WORKING,315.0,95288076035
422,서대문역,RESIDENT,2316.0,94973669200
423,서대문역,WORKING,18772.0,94973669200
424,종로구청,RESIDENT,1788.0,94766912372
425,종로구청,WORKING,22921.0,94766912372
426,등촌1동주민센터,RESIDENT,29632.0,94347873052
427,등촌1동주민센터,WORKING,13889.0,94347873052
428,망원역,RESIDENT,4028.0,93584199375
429,망원역,WORKING,6283.0,93584199375
430,천호공원(해공체육문화센터),RESIDENT,16664.0,93440532270
431,천호공원(해공체육문화센터),WORKING,662.0,93440532270
432,원남동사거리,RESIDENT,3192.0,93172347441
433,원남동사거리,WORKING,15580.0,93172347441
434,왕십리도선동상점가,RESIDENT,14420.0,93012371637
435,왕십리도선동상점가,WORKING,6835.0,93012371637
436,도성초등학교,RESIDENT,6420.0,91124477757
437,도성초등학교,WORKING,11619.0,91124477757
438,도곡1동,RESIDENT,7164.0,90038042666
439,도곡1동,WORKING,55975.0,90038042666
440,오류동역,RESIDENT,23552.0,89466016770
441,오류동역,WORKING,6645.0,89466016770
442,구삼강변맛길,RESIDENT,16532.0,89092749975
443,구삼강변맛길,WORKING,10920.0,89092749975
444,동묘앞역(동묘),RESIDENT,4740.0,88961216278
445,동묘앞역(동묘),WORKING,2895.0,88961216278
446,본서부병원,RESIDENT,13892.0,86828513712
447,본서부병원,WORKING,4107.0,86828513712
448,합정역 8번,RESIDENT,21916.0,86208697883
449,합정역 8번,WORKING,4850.0,86208697883
450,영중로,RESIDENT,6924.0,85256030018
451,영중로,WORKING,8983.0,85256030018
452,굽은다리역,RESIDENT,7200.0,85217028996
453,굽은다리역,WORKING,8252.0,85217028996
454,강동구청역,RESIDENT,13492.0,85150918171
455,강동구청역,WORKING,34388.0,85150918171
456,송파사거리(송파역),RESIDENT,6064.0,85009578384
457,송파사거리(송파역),WORKING,7175.0,85009578384
458,왕십리역(왕십리),RESIDENT,9644.0,84541288620
459,왕십리역(왕십리),WORKING,5119.0,84541288620
460,행당시장상점가,RESIDENT,7692.0,84199487668
461,행당시장상점가,WORKING,2392.0,84199487668
462,경희대학교(경희대),RESIDENT,2728.0,83391063720
463,경희대학교(경희대),WORKING,90.0,83391063720
464,사가정역,RESIDENT,2136.0,83312356522
465,사가정역,WORKING,1169.0,83312356522
466,상암동상점가,RESIDENT,9788.0,83121254918
467,상암동상점가,WORKING,3019.0,83121254918
468,장평중학교,RESIDENT,28216.0,82952576500
469,장평중학교,WORKING,6487.0,82952576500
